code,emotion,confidence
char_1011_purgatory_1-3,neutral,0.2423
char_1011_purgatory_1-4,neutral,0.2384
char_1011_purgatory_1-5,neutral,0.2339
char_1011_wizard_1,neutral,0.6664
char_1011_wizard_2,neutral,0.2454
char_101_sora_1,angry,0.3179
char_101_sora_2,angry,0.3277
char_101_sora_3,angry,0.3193
char_101_sora_4,angry,0.3256
char_101_sora_5,angry,0.3163
char_101_sora_6,angry,0.4376
char_101_sora_7,fear,0.3317
char_101_sora_summer,angry,0.3385
char_102_texas_1,neutral,0.2023
char_102_texas_2,surprise,0.2504
char_102_texas_3,neutral,0.2019
char_102_texas_4,surprise,0.2040
char_102_texas_5,neutral,0.2994
char_103_angel_1,surprise,0.2096
char_103_angel_2,fear,0.2347
char_103_angel_3,surprise,0.2657
char_103_angel_4,surprise,0.2730
char_103_angel_5,surprise,0.2651
char_103_angel_6,surprise,0.2662
char_103_angel_7,surprise,0.2712
char_103_angel_8,surprise,0.2159
char_105_emper,neutral,0.3657
char_106_franka_1,surprise,0.2253
char_107_liskam_1,neutral,0.3962
char_108_silent_1-1,happy,0.2579
char_108_silent_1-2,surprise,0.2337
char_108_silent_1-3,happy,0.2411
char_108_silent_1-4,surprise,0.2317
char_108_silent_1-5,happy,0.2731
char_109_fmout_1,surprise,0.3944
char_109_fmout_2,surprise,0.2366
char_112_seige_1,surprise,0.4997
char_115_headbr_1,neutral,0.2911
char_115_headbr_10,neutral,0.2637
char_115_headbr_11,neutral,0.2638
char_115_headbr_12,fear,0.2780
char_115_headbr_2,neutral,0.2944
char_115_headbr_3,neutral,0.2931
char_115_headbr_4,neutral,0.2909
char_115_headbr_5,neutral,0.2918
char_115_headbr_6,neutral,0.2893
char_115_headbr_7,neutral,0.2904
char_115_headbr_8,neutral,0.3051
char_115_headbr_9,fear,0.2995
char_117_myrrh-1,surprise,0.2691
char_117_myrrh-2,surprise,0.2690
char_117_myrrh-3,surprise,0.2680
char_117_myrrh-4,surprise,0.2689
char_117_myrrh-5,surprise,0.2691
char_117_myrrh-6,surprise,0.2683
char_118_yuki,happy,0.2504
char_118_yuki_2,happy,0.2489
char_118_yuki_3,happy,0.2496
char_118_yuki_4,happy,0.2491
char_118_yuki_5,happy,0.2512
char_120_hibisc_1,angry,0.3008
char_121_lava_1,happy,0.2051
char_121_lava_2,happy,0.2097
char_121_lava_3,happy,0.2076
char_121_lava_4,fear,0.2336
char_122_beagle_1,sad,0.2222
char_123_fang_1,neutral,0.2660
char_124_kroos_1,happy,0.3884
char_124_kroos_1-2,happy,0.3815
char_124_kroos_1-3,happy,0.3622
char_128_plosis_1,sad,0.2313
char_130_doberm_ex,neutral,0.0000
char_130_doberm_ex_2,neutral,0.2350
char_130_doberm_ex_3,neutral,0.2373
char_130_doberm_ex_4,neutral,0.2279
char_130_doberm_ex_5,neutral,0.2733
char_131_flameb_1,fear,0.1989
char_131_flameb_2,fear,0.1967
char_131_flameb_3,fear,0.1970
char_131_flameb_4,fear,0.2017
char_131_flameb_5,fear,0.1964
char_131_flameb_6,fear,0.1969
char_131_flameb_7,fear,0.4312
char_133_mm_1,fear,0.3251
char_134_ifrit_1,fear,0.2502
char_134_ifrit_10,fear,0.2557
char_134_ifrit_11,fear,0.4599
char_134_ifrit_2,fear,0.2540
char_134_ifrit_3,fear,0.2527
char_134_ifrit_4,fear,0.2525
char_134_ifrit_5,fear,0.2554
char_134_ifrit_6,fear,0.2662
char_134_ifrit_7,fear,0.2550
char_134_ifrit_8,fear,0.2498
char_134_ifrit_9,fear,0.2566
char_134_ifrit_summer_1,neutral,0.3409
char_136_hsguma_1,happy,0.3693
char_136_hsguma_3,surprise,0.2486
char_136_hsguma_ns_1,surprise,0.2540
char_136_hsguma_ns_2,surprise,0.2625
char_136_hsguma_ns_3,surprise,0.2552
char_136_hsguma_ns_4,surprise,0.2579
char_136_hsguma_ns_5,surprise,0.2592
char_137_brownb_1,fear,0.3142
char_140_whitew_1,neutral,0.2296
char_141_nights_1,neutral,0.2682
char_143_ghost,surprise,0.2744
char_143_ghost_2,neutral,0.2504
char_143_ghost_3,neutral,0.2586
char_143_ghost_4,neutral,0.2555
char_144_red_1,surprise,0.2563
char_144_red_2,surprise,0.2752
char_144_red_3,surprise,0.2568
char_144_red_4,surprise,0.2566
char_144_red_5,surprise,0.2559
char_144_red_6,surprise,0.2666
char_144_red_7,surprise,0.2590
char_144_red_8,surprise,0.2285
char_145_prove_1,surprise,0.2874
char_145_prove_1-2,surprise,0.2842
char_145_prove_1-3,surprise,0.2903
char_145_prove_1-4,surprise,0.2249
char_145_prove_1-5,surprise,0.2426
char_147_shining_1,surprise,0.3943
char_147_shining_2,surprise,0.4014
char_148_nearl_1,surprise,0.0000
char_148_nearl_1#3,surprise,0.0000
char_148_nearl_1#4,surprise,0.0000
char_148_nearl_2,surprise,0.2961
char_148_nearl_3,surprise,0.2933
char_148_nearl_4,surprise,0.2824
char_148_nearl_5,surprise,0.2699
char_148_nearl_6,surprise,0.2824
char_148_nearl_7,surprise,0.2816
char_148_nearl_9,sad,0.2322
char_148_nearl_ns_1,sad,0.3219
char_148_nearl_ns_2,sad,0.2961
char_148_nearl_ns_3,sad,0.2972
char_148_nearl_ns_4,sad,0.3244
char_148_nearl_ns_5,sad,0.3293
char_148_nearl_ns_6,sad,0.3202
char_148_nearl_ns_7,sad,0.3250
char_148_nearl_ns_8,sad,0.2991
char_1500_skulsr,fear,0.2346
char_1502_crowns,neutral,0.2573
char_1502_crowns_1,sad,0.3302
char_1504_cqbw_1,angry,0.2280
char_1504_cqbw_2,fear,0.4399
char_1504_cqbw_3,angry,0.2173
char_1504_cqbw_4,sad,0.2358
char_1504_cqbw_5,angry,0.2204
char_1505_frstar_1,surprise,0.2605
char_1505_frstar_10,sad,0.1857
char_1505_frstar_2,fear,0.2471
char_1505_frstar_3,angry,0.2768
char_1505_frstar_4,angry,0.2718
char_1505_frstar_5,angry,0.2684
char_1505_frstar_6,angry,0.2718
char_1505_frstar_7,angry,0.2558
char_1505_frstar_8,angry,0.2590
char_1505_frstar_9,angry,0.2584
char_1507_mephisto_1,sad,0.2426
char_1507_mephisto_2,sad,0.2469
char_1507_mephisto_3,sad,0.2428
char_1507_mephisto_4,sad,0.2429
char_1507_mephisto_5,surprise,0.2518
char_1507_mephisto_6,sad,0.2880
char_1508_faust_1,sad,0.2719
char_1508_faust_2,surprise,0.2927
char_150_snakekiller_1,neutral,0.3817
char_151_myrtle_1,neutral,0.2104
char_154_morgan_1,neutral,0.2348
char_155_tiger_1,happy,0.2628
char_158_milu,angry,0.3183
char_163_hpsts_1,neutral,0.2615
char_166_skfire_1,neutral,0.2458
char_166_skfire_2,neutral,0.2402
char_166_skfire_3,neutral,0.2449
char_171_bldsk_1,surprise,0.3012
char_172_svrash_1,angry,0.2052
char_174_slbell_1,neutral,0.3551
char_179_cgbird_1,happy,0.3004
char_180_amgoat,surprise,0.3373
char_180_amgoat_1-1,fear,0.4714
char_180_amgoat_1-2,fear,0.4757
char_180_amgoat_1-3,fear,0.4694
char_180_amgoat_1-4,fear,0.4713
char_180_amgoat_1-5,fear,0.4763
char_180_amgoat_1-6,fear,0.4946
char_181_flower_1-1,sad,0.2571
char_181_flower_1-2,sad,0.2579
char_181_flower_1-3,sad,0.2557
char_181_flower_1-4,sad,0.2594
char_181_flower_1-5,sad,0.2571
char_181_flower_1-6,sad,0.2489
char_183_skgoat_1,surprise,0.2019
char_185_frncat_1,fear,0.3105
char_187_ccheal_1,angry,0.2595
char_187_ccheal_2,angry,0.2573
char_187_ccheal_3,angry,0.2547
char_187_ccheal_4,angry,0.2583
char_187_ccheal_5,angry,0.2556
char_187_ccheal_summer_1,surprise,0.2630
char_188_helage_1,neutral,0.2440
char_188_helage_2,neutral,0.2389
char_188_helage_3,neutral,0.2348
char_190_clour,angry,0.2444
char_193_frostl_1,angry,0.3660
char_193_frostl_2,angry,0.3582
char_193_frostl_3,angry,0.3387
char_193_frostl_4,angry,0.3021
char_193_frostl_5,angry,0.3683
char_193_frostl_6,angry,0.3512
char_193_frostl_7,fear,0.5816
char_194_rosali_1,neutral,0.2268
char_194_rosali_2,neutral,0.2274
char_194_rosali_3,neutral,0.2272
char_194_rosali_4,neutral,0.2417
char_194_rosali_5,fear,0.3133
char_195_glassb_1,surprise,0.4419
char_195_glassb_2,surprise,0.4303
char_195_glassb_3,surprise,0.4478
char_195_glassb_4,surprise,0.4582
char_195_glassb_5,surprise,0.4372
char_195_glassb_6,surprise,0.4173
char_195_glassb_7,surprise,0.4407
char_196_sunbr_1,fear,0.5060
char_196_sunbr_2,fear,0.4029
char_196_sunbr_3,fear,0.4460
char_196_sunbr_4,fear,0.4010
char_196_sunbr_5,fear,0.4403
char_196_sunbr_6,fear,0.4439
char_196_sunbr_7,fear,0.4493
char_196_sunbr_8,fear,0.4439
char_196_sunbr_9,neutral,0.3388
char_196_sunbr_summer,neutral,0.3077
char_197_poca_1,neutral,0.2645
char_197_poca_2,neutral,0.2635
char_197_poca_3,neutral,0.2260
char_197_poca_4,neutral,0.2238
char_197_poca_5,fear,0.3459
char_198_blackd_1,neutral,0.3880
char_199_yak_1,surprise,0.2061
char_199_yak_2,angry,0.2063
char_199_yak_3,surprise,0.2078
char_199_yak_4,surprise,0.2058
char_199_yak_5,surprise,0.2073
char_199_yak_6,angry,0.2058
char_199_yak_7,fear,0.2434
char_2005_weiyw_1,fear,0.2106
char_2005_weiyw_2,fear,0.2110
char_2005_weiyw_3,fear,0.2426
char_2005_weiyw_4,fear,0.2128
char_2005_weiyw_5,fear,0.2114
char_2006_fmzuki_1,fear,0.2180
char_2013_cerber_1-1,neutral,0.1949
char_2013_cerber_1-2,neutral,0.1931
char_2013_cerber_1-3,sad,0.1982
char_2013_cerber_1-4,neutral,0.1974
char_2013_cerber_1-5,neutral,0.2028
char_2014_nian_1,surprise,0.4363
char_2014_nian_2,surprise,0.4213
char_2014_nian_3,surprise,0.4079
char_2014_nian_4,surprise,0.4394
char_2014_nian_5,surprise,0.2779
char_2015_dusk_1-1,happy,0.2635
char_2015_dusk_1-2,happy,0.2648
char_2015_dusk_1-3,happy,0.2666
char_2015_dusk_1-4,happy,0.2686
char_2015_dusk_1-5,happy,0.2723
char_201_moeshd,surprise,0.2531
char_201_moeshd_1,surprise,0.3179
char_201_moeshd_2,surprise,0.3229
char_201_moeshd_3,surprise,0.3048
char_201_moeshd_4,surprise,0.3263
char_201_moeshd_5,fear,0.2480
char_201_moeshd_6,surprise,0.2550
char_201_moeshd_7,surprise,0.3197
char_201_moeshd_summer,happy,0.2066
char_204_platnm_1,fear,0.2353
char_204_platnm_1-1,neutral,0.2969
char_204_platnm_1-2,neutral,0.2929
char_204_platnm_1-3,neutral,0.2981
char_204_platnm_1-4,neutral,0.2915
char_204_platnm_1-5,neutral,0.2929
char_204_platnm_1-6,neutral,0.2926
char_204_platnm_1-7,neutral,0.2940
char_204_platnm_1-8,neutral,0.2983
char_204na_platnm_1-1,neutral,0.3541
char_204na_platnm_1-2,neutral,0.3471
char_204na_platnm_1-3,neutral,0.3485
char_204na_platnm_1-4,neutral,0.3492
char_204na_platnm_1-5,neutral,0.3504
char_204na_platnm_1-6,neutral,0.3486
char_204na_platnm_1-7,neutral,0.3474
char_204na_platnm_1-8,neutral,0.3550
char_208_melan_1,fear,0.2436
char_208_melan_2,fear,0.2470
char_208_melan_3,fear,0.2461
char_208_melan_4,fear,0.2510
char_208_melan_5,fear,0.2372
char_208_melan_6,fear,0.2375
char_208_melan_7,fear,0.3367
char_209_ardign,surprise,0.2672
char_210_stward_1,angry,0.4338
char_210_stward_2,angry,0.4477
char_210_stward_3,angry,0.4516
char_210_stward_4,angry,0.4445
char_210_stward_5,angry,0.4458
char_210_stward_6,angry,0.4393
char_210_stward_7,angry,0.2698
char_211_adnach_1,surprise,0.2758
char_211_adnach_2,surprise,0.2705
char_211_adnach_3,surprise,0.2743
char_211_adnach_4,surprise,0.2716
char_211_adnach_5,surprise,0.2765
char_211_adnach_6,surprise,0.2707
char_212_ansel_1,neutral,0.2444
char_213_mostma_1,surprise,0.3388
char_213_mostma_2,surprise,0.3467
char_213_mostma_3,surprise,0.3368
char_213_mostma_4,surprise,0.3491
char_213_mostma_5,surprise,0.3433
char_213_mostma_6,neutral,0.2696
char_214_kafka_1,happy,0.2818
char_214_kafka_1-2,surprise,0.2861
char_214_kafka_1-3,surprise,0.2720
char_214_kafka_1-4,surprise,0.2611
char_214_kafka_1-5,surprise,0.2713
char_219_meteo_1,happy,0.2739
char_219_meteo_2,happy,0.2714
char_219_meteo_3,happy,0.2710
char_219_meteo_4,happy,0.2703
char_219_meteo_5,happy,0.2699
char_220_grani_1,sad,0.2047
char_220_grani_2,sad,0.2065
char_220_grani_3,sad,0.2169
char_220_grani_4,sad,0.2074
char_220_grani_5,sad,0.2074
char_222_bpipe,fear,0.2408
char_225_haak_1,angry,0.2644
char_225_haak_2,angry,0.2627
char_225_haak_3,happy,0.1949
char_226_hmau_1,sad,0.2686
char_226_hmau_2,sad,0.3131
char_230_savage_1,neutral,0.2291
char_236_rope_1,neutral,0.5460
char_236_rope_2,neutral,0.5484
char_236_rope_3,neutral,0.5486
char_236_rope_4,neutral,0.5538
char_236_rope_5,neutral,0.5458
char_236_rope_6,neutral,0.5142
char_236_rope_7,neutral,0.5434
char_237_gravel,angry,0.2169
char_240_vanilla_1,neutral,0.2152
char_240_vanilla_2,neutral,0.2168
char_240_vanilla_3,neutral,0.2130
char_240_vanilla_4,neutral,0.2119
char_240_vanilla_5,neutral,0.2156
char_240_vanilla_6,neutral,0.2169
char_240_vanilla_7,happy,0.2162
char_242_mayer-2,happy,0.3599
char_242_mayer-3,happy,0.3392
char_242_mayer-4,happy,0.3703
char_242_mayer-5,happy,0.3565
char_243_waaifu_1,fear,0.2845
char_243_waaifu_2,fear,0.2827
char_243_waaifu_3,fear,0.2773
char_243_waaifu_4,fear,0.2864
char_243_waaifu_5,fear,0.4164
char_248_mgllan,neutral,0.2273
char_249_muesys_1,neutral,0.2740
char_249_muesys_2,surprise,0.2671
char_249_muesys_3,neutral,0.2671
char_249_muesys_4,neutral,0.2691
char_249_muesys_5,neutral,0.2701
char_249_muesys_6,surprise,0.2772
char_249_muesys_7,neutral,0.2679
char_249_muesys_8,neutral,0.3979
char_250_phantom_1,fear,0.2400
char_250_phantom_2,fear,0.2394
char_250_phantom_3,fear,0.2110
char_250_phantom_4,fear,0.2406
char_250_phantom_5,fear,0.2400
char_250_phantom_6,fear,0.2405
char_250_phantom_7,angry,0.2439
char_252_bibeak_1,happy,0.4211
char_253_greyy_na_1,fear,0.3176
char_253_greyy_na_2,fear,0.3312
char_253_greyy_na_3,fear,0.3305
char_253_greyy_na_4,fear,0.3333
char_253_greyy_na_5,fear,0.2974
char_253_greyy_na_6,fear,0.3094
char_253_greyy_na_7,fear,0.2995
char_254_shamare_1,fear,0.2514
char_258_podego_1,surprise,0.5063
char_259_jessica_1,fear,0.2449
char_259_jessica_2,fear,0.2441
char_259_jessica_4,fear,0.2591
char_259_jessica_5,fear,0.2453
char_259_jessica_6,fear,0.2408
char_259_jessica_7,happy,0.3942
char_260_durnar_1,neutral,0.2982
char_263_skadi_1,angry,0.2551
char_263_skadi_2,angry,0.2398
char_263_skadi_3,surprise,0.2875
char_263_skadi_4,surprise,0.2850
char_263_skadi_5,surprise,0.2883
char_263_skadi_6,surprise,0.2859
char_263_skadi_7,surprise,0.2752
char_263_skadi_8,surprise,0.2897
char_263_skadi_9,surprise,0.2886
char_264_mountain_1-1,sad,0.2856
char_264_mountain_1-10,sad,0.3404
char_264_mountain_1-11,sad,0.3414
char_264_mountain_1-2,sad,0.2800
char_264_mountain_1-3,sad,0.2824
char_264_mountain_1-4,angry,0.2567
char_264_mountain_1-5,sad,0.2824
char_264_mountain_1-6,sad,0.2864
char_264_mountain_1-7,sad,0.3441
char_264_mountain_1-8,sad,0.2308
char_264_mountain_1-9,sad,0.3334
char_271_arene_1,fear,0.3046
char_271_arene_2,fear,0.3531
char_271_arene_3,fear,0.3485
char_271_arene_4,fear,0.3488
char_271_arene_5,fear,0.3479
char_271_arene_6,fear,0.3481
char_271_arene_7,fear,0.3504
char_272_strong_1,neutral,0.2727
char_272_strong_2,neutral,0.2675
char_272_strong_3,neutral,0.2755
char_272_strong_4,neutral,0.2570
char_272_strong_5,fear,0.3398
char_278_orchid_1,surprise,0.3017
char_278_orchid_2,surprise,0.2868
char_278_orchid_3,surprise,0.3046
char_278_orchid_4,surprise,0.2941
char_278_orchid_5,surprise,0.2986
char_278_orchid_6,surprise,0.3022
char_278_orchid_7,neutral,0.3852
char_279_excu_1,angry,0.2263
char_279_excu_2,angry,0.2272
char_279_excu_3,angry,0.2261
char_279_excu_4,angry,0.2257
char_279_excu_5,angry,0.2231
char_279_excu_6,fear,0.2776
char_281_popka_1,surprise,0.6187
char_281_popka_2,surprise,0.6060
char_281_popka_3,surprise,0.6158
char_281_popka_4,surprise,0.5870
char_281_popka_5,surprise,0.6365
char_281_popka_6,surprise,0.6144
char_281_popka_7,surprise,0.6184
char_281_popka_8,surprise,0.2708
char_282_catap_1,neutral,0.2813
char_283_midn_1,angry,0.2741
char_283_midn_2,angry,0.2754
char_283_midn_3,angry,0.2729
char_283_midn_4,angry,0.2741
char_283_midn_5,fear,0.4311
char_284_spot_1,angry,0.3488
char_285_medic2_1,sad,0.3093
char_290_vigna,angry,0.1946
char_291_aglina_1,surprise,0.3104
char_291_aglina_2,surprise,0.3125
char_291_aglina_3,surprise,0.3263
char_291_aglina_4,surprise,0.3556
char_291_aglina_5,surprise,0.3116
char_293_thorns_1,angry,0.2548
char_293_thorns_n_1,sad,0.3591
char_293_thorns_n_2,sad,0.3606
char_293_thorns_n_3,sad,0.3600
char_293_thorns_n_4,sad,0.3617
char_293_thorns_n_5,sad,0.3604
char_293_thorns_n_6,sad,0.3593
char_294_ayer,angry,0.2810
char_300_phenxi_1,fear,0.2529
char_300_phenxi_2,fear,0.2457
char_300_phenxi_3,fear,0.2487
char_300_phenxi_4,fear,0.5095
char_301_cutter_1,sad,0.2363
char_302_glaze_1,neutral,0.3305
char_302_glaze_2,neutral,0.3408
char_302_glaze_3,neutral,0.3324
char_302_glaze_4,neutral,0.3118
char_302_glaze_5,neutral,0.3359
char_302_glaze_6,neutral,0.3335
char_304_hvrain,surprise,0.3218
char_304_hvrain_2,surprise,0.3185
char_304_hvrain_3,surprise,0.3222
char_304_hvrain_4,surprise,0.3241
char_304_hvrain_5,surprise,0.3216
char_308_swire_1,happy,0.2634
char_308_swire_2,happy,0.2287
char_308_swire_3,happy,0.2632
char_308_swire_4,happy,0.2644
char_308_swire_5,happy,0.2576
char_308_swire_6,fear,0.2007
char_325_bison_1,surprise,0.3102
char_325_bison_2,angry,0.3301
char_325_bison_3,surprise,0.3074
char_325_bison_4,angry,0.3241
char_325_bison_5,angry,0.3118
char_328_cammou,angry,0.2361
char_332_archet,angry,0.3970
char_332_archet_2,angry,0.4008
char_332_archet_3,angry,0.3945
char_332_archet_4,angry,0.4056
char_332_archet_5,angry,0.3994
char_332_archet_6,angry,0.4082
char_333_sidero_1,surprise,0.2797
char_333_sidero_2,happy,0.3113
char_333_sidero_3,happy,0.3037
char_333_sidero_4,happy,0.3266
char_333_sidero_5,surprise,0.2837
char_333_sidero_6,happy,0.3225
char_333_sidero_7,surprise,0.2817
char_333_sidero_8,happy,0.3253
char_336_scene_1,surprise,0.2410
char_337_utage_1,surprise,0.3867
char_337_utage_story_1,surprise,0.3079
char_337_utage_story_2,surprise,0.3016
char_337_utage_story_3,surprise,0.3244
char_337_utage_story_4,surprise,0.3052
char_337_utage_story_5,fear,0.2701
char_337_utage_story_6,surprise,0.3194
char_337_utage_summer_1,surprise,0.4946
char_337_utage_summer_2,surprise,0.5440
char_337_utage_summer_3,surprise,0.4932
char_337_utage_summer_4,surprise,0.4935
char_338_iris,surprise,0.3138
char_338_iris_2,surprise,0.3130
char_338_iris_3,surprise,0.3140
char_338_iris_4,surprise,0.3128
char_338_iris_5,surprise,0.3057
char_340_shwaz_1,angry,0.3189
char_340_shwaz_2,angry,0.3219
char_340_shwaz_3,angry,0.3318
char_340_shwaz_4,angry,0.3162
char_340_shwaz_5,angry,0.3246
char_341_amona_1,angry,0.2398
char_341_amona_2,neutral,0.2898
char_343_tsukinogi_1,neutral,0.2438
char_344_beewax_1,surprise,0.2717
char_345_folnic_1,fear,0.4928
char_345_folnic_2,fear,0.4915
char_345_folnic_3,fear,0.4892
char_345_folnic_4,fear,0.4946
char_345_folnic_5,fear,0.4842
char_345_folnic_6,fear,0.5271
char_346_aosta,happy,0.1959
char_346_aosta_2,happy,0.1909
char_346_aosta_3,happy,0.1944
char_346_aosta_4,happy,0.1962
char_346_aosta_5,happy,0.1957
char_347_jaksel_1,neutral,0.3609
char_348_ceylon_1,neutral,0.2556
char_348_ceylon_2,neutral,0.2526
char_348_ceylon_3,neutral,0.2576
char_348_ceylon_4,neutral,0.2582
char_348_ceylon_5,neutral,0.2559
char_348_ceylon_6,neutral,0.2566
char_348_ceylon_7,neutral,0.2572
char_348_ceylon_8,neutral,0.2563
char_348_ceylon_9,fear,0.2537
char_349_chiave,angry,0.2679
char_349_chiave_2,angry,0.2655
char_349_chiave_3,angry,0.2695
char_349_chiave_4,angry,0.2765
char_350_surtr_1,fear,0.1869
char_350_surtr_2,fear,0.1866
char_350_surtr_3,fear,0.1872
char_350_surtr_4,fear,0.1873
char_350_surtr_5,fear,0.1889
char_350_surtr_6,fear,0.1856
char_350_surtr_w_1,angry,0.2598
char_350_surtr_w_2,angry,0.2597
char_350_surtr_w_3,angry,0.2586
char_350_surtr_w_4,angry,0.2598
char_350_surtr_w_5,angry,0.2611
char_350_surtr_w_6,angry,0.2590
char_355_ethan_1,neutral,0.3837
char_356_broca,angry,0.2986
char_356_broca_2,angry,0.3016
char_356_broca_3,angry,0.2991
char_356_broca_4,angry,0.2984
char_358_lisa_1,neutral,0.1980
char_358_lisa_2,neutral,0.2037
char_358_lisa_3,neutral,0.1995
char_358_lisa_4,neutral,0.1989
char_358_lisa_5,fear,0.1938
char_362_saga#1,surprise,0.2514
char_362_saga#2,neutral,0.2505
char_362_saga#3,surprise,0.2752
char_362_saga#4,neutral,0.2706
char_362_saga#5,fear,0.2358
char_362_saga#6,fear,0.2448
char_362_saga-1,surprise,0.2514
char_362_saga-2,neutral,0.2505
char_362_saga-3,surprise,0.2752
char_362_saga-4,neutral,0.2706
char_362_saga-5,fear,0.2358
char_362_saga-6,fear,0.2448
char_365_aprl,surprise,0.2886
char_365_aprl_2,surprise,0.2752
char_365_aprl_3,surprise,0.2886
char_365_aprl_4,surprise,0.2806
char_365_aprl_5,surprise,0.2778
char_365_aprl_6,surprise,0.2938
char_366_acdrop,fear,0.3191
char_367_swllow_1,neutral,0.2031
char_367_swllow_2,neutral,0.2256
char_367_swllow_3,neutral,0.2015
char_367_swllow_4,neutral,0.2031
char_373_leonhardt_1,fear,0.1812
char_373_lionhd,fear,0.2054
char_373_lionhd_2,fear,0.2028
char_373_lionhd_3,fear,0.2035
char_373_lionhd_4,fear,0.2089
char_373_lionhd_5,fear,0.2068
char_373_lionhd_6,fear,0.2064
char_376_therex_1,sad,0.2207
char_379_sesa_1,surprise,0.2352
char_379_sesa_2,surprise,0.2267
char_379_sesa_3,surprise,0.2302
char_379_sesa_4,surprise,0.2280
char_379_sesa_5,surprise,0.2340
char_379_sesa_6,surprise,0.2264
char_381_bubble_1,neutral,0.2057
char_383_snsant_1,neutral,0.2458
char_383_snsant_2,neutral,0.3058
char_385_finlpp,happy,0.2726
char_385_finlpp_2,happy,0.3413
char_385_finlpp_3,happy,0.3625
char_385_finlpp_4,happy,0.3363
char_385_finlpp_5,happy,0.3655
char_385_finlpp_6,happy,0.3434
char_388_mint_1,sad,0.2461
char_388_mint_2,sad,0.2551
char_388_mint_3,sad,0.2492
char_388_mint_4,sad,0.2483
char_388_mint_5,sad,0.2439
char_400_weedy_1,happy,0.2217
char_401_elysm,angry,0.3327
char_401_elysm_na_1,surprise,0.3822
char_401_elysm_na_10,surprise,0.2975
char_401_elysm_na_11,surprise,0.3031
char_401_elysm_na_2,surprise,0.3693
char_401_elysm_na_3,surprise,0.3766
char_401_elysm_na_4,surprise,0.3797
char_401_elysm_na_5,surprise,0.3078
char_401_elysm_na_6,surprise,0.3071
char_401_elysm_na_7,surprise,0.3070
char_401_elysm_na_8,surprise,0.3057
char_401_elysm_na_9,surprise,0.3071
char_405_absin_1,neutral,0.2800
char_405_absin_2,neutral,0.2764
char_405_absin_3,neutral,0.2751
char_405_absin_4,neutral,0.2752
char_405_absin_5,neutral,0.2726
char_405_absin_6,neutral,0.2758
char_405_absin_ed_1,neutral,0.2719
char_405_absin_ed_2,neutral,0.2711
char_405_absin_ed_3,neutral,0.2700
char_405_absin_ed_4,neutral,0.2695
char_405_absin_ed_5,neutral,0.2676
